Episode 1, Last State: [  1.  69. 100.], Reward: 137.3439556069913
Episode 2, Last State: [  1.  12. 100.], Reward: 190.68992306516154
Episode 3, Last State: [  1.  15. 100.], Reward: 186.1421239838299
Episode 4, Last State: [ 51.   4. 100.], Reward: 427.8321461540349
Episode 5, Last State: [ 94.  23. 100.], Reward: 649.3390042322796
Episode 6, Last State: [ 95.  14. 100.], Reward: 733.8079406764599
Episode 7, Last State: [100.  47. 100.], Reward: 469.22931429993173
Episode 8, Last State: [100.  79. 100.], Reward: 339.69110307745575
Episode 9, Last State: [100. 100. 100.], Reward: 289.8663324524963
Episode 10, Last State: [100. 100. 100.], Reward: 289.8663324524963
Episode 11, Last State: [100. 100. 100.], Reward: 289.8663324524963
Episode 12, Last State: [ 92. 100. 100.], Reward: 306.45242418656045
Episode 13, Last State: [ 65.  94. 100.], Reward: 398.6678508702374
Episode 14, Last State: [ 41.  72. 100.], Reward: 575.6475842387254
Episode 15, Last State: [ 28.  57. 100.], Reward: 725.0841788214607
Episode 16, Last State: [ 22.  40. 100.], Reward: 866.4250286555624
Episode 17, Last State: [ 19.  32. 100.], Reward: 948.5584357574897
Episode 18, Last State: [ 16.  25. 100.], Reward: 1033.1964240459201
Episode 19, Last State: [ 12.  23. 100.], Reward: 1092.4665176708327
Episode 20, Last State: [ 16.  16. 100.], Reward: 1116.4360518799704
Episode 21, Last State: [ 23.   9. 100.], Reward: 1086.0264415046674
Episode 22, Last State: [ 27.   2. 100.], Reward: 252.7570412880439
Episode 23, Last State: [ 24.   2. 100.], Reward: 258.1359040973637
Episode 24, Last State: [ 23.   1. 100.], Reward: 131.44226370929525
Episode 25, Last State: [ 23.   1. 100.], Reward: 131.44226370929525
Episode 26, Last State: [ 22.   1. 100.], Reward: 132.39348807359914
Episode 27, Last State: [ 19.   1. 100.], Reward: 135.362837659005
Episode 28, Last State: [ 14.   1. 100.], Reward: 140.72110393770362
Episode 29, Last State: [ 11.   1. 100.], Reward: 144.2001702349196
Episode 1, Last State: [3. 4. 1.], Reward: 99.62860082438753
Episode 2, Last State: [ 1.  1. 55.], Reward: 196.804478122741
Episode 3, Last State: [ 1.  1. 21.], Reward: 221.04960321298847
Episode 4, Last State: [2. 1. 4.], Reward: 214.90332827647538
Episode 5, Last State: [1. 2. 1.], Reward: 102.26733565050255
Episode 6, Last State: [2. 1. 4.], Reward: 395.09757668024815
Episode 7, Last State: [1. 1. 7.], Reward: 384.85202269116235
Episode 8, Last State: [1. 1. 7.], Reward: 360.3424638652656
Episode 9, Last State: [2. 1. 2.], Reward: 212.89675607673502
Episode 10, Last State: [2. 1. 2.], Reward: 203.18950597357787
Episode 11, Last State: [1. 2. 4.], Reward: 361.93705350274263
Episode 12, Last State: [1. 4. 3.], Reward: 293.98389070777694
Episode 13, Last State: [1. 1. 1.], Reward: 102.94026144644609
Episode 14, Last State: [3. 1. 2.], Reward: 201.87026789759096
Episode 15, Last State: [2. 1. 2.], Reward: 212.89675607673502
Episode 16, Last State: [1. 1. 1.], Reward: 102.94026144644609
Episode 17, Last State: [1. 1. 3.], Reward: 246.0002086548485
Episode 18, Last State: [2. 1. 2.], Reward: 203.18950597357787
Episode 19, Last State: [1. 1. 1.], Reward: 102.94026144644609
Episode 20, Last State: [9. 1. 1.], Reward: 97.91302053418535
Episode 21, Last State: [1. 1. 4.], Reward: 300.90392553499134
Episode 22, Last State: [3. 1. 1.], Reward: 101.60783098969138
Episode 23, Last State: [4. 1. 2.], Reward: 200.5768972348587
Episode 24, Last State: [2. 1. 1.], Reward: 227.9869550403431
Episode 25, Last State: [10.  1.  4.], Reward: 264.39124998662464
Episode 26, Last State: [3. 1. 2.], Reward: 201.87026789759096
Episode 27, Last State: [1. 1. 3.], Reward: 270.5097674807452
Episode 28, Last State: [2. 2. 2.], Reward: 326.7941176798671
Episode 29, Last State: [1. 1. 1.], Reward: 205.88029413823506
Episode 30, Last State: [1. 2. 1.], Reward: 244.80724050913494
Episode 31, Last State: [1. 1. 3.], Reward: 270.5097674807452
Episode 32, Last State: [2. 1. 1.], Reward: 102.2674500276852
Episode 33, Last State: [1. 2. 1.], Reward: 276.5254931072373
Episode 34, Last State: [1. 1. 1.], Reward: 205.88029413823506
Episode 35, Last State: [1. 1. 5.], Reward: 330.06748321697137
Episode 36, Last State: [1. 3. 7.], Reward: 523.3437512822554
Episode 37, Last State: [1. 1. 7.], Reward: 236.85827226442638
Episode 38, Last State: [1. 1. 6.], Reward: 238.16409947407766
Episode 39, Last State: [1. 1. 5.], Reward: 239.49604322792197
Episode 40, Last State: [1. 1. 4.], Reward: 240.85462585684314
Episode 41, Last State: [ 1.  1. 18.], Reward: 224.07833979010482
Episode 42, Last State: [2. 1. 2.], Reward: 333.0416522824391
Episode 43, Last State: [1. 1. 3.], Reward: 270.5097674807452
Episode 44, Last State: [1. 1. 9.], Reward: 234.3229291622584
Episode 45, Last State: [ 1.  1. 25.], Reward: 232.51902167216414
Episode 46, Last State: [ 1.  1. 38.], Reward: 218.68479175748087
Episode 47, Last State: [ 1.  1. 27.], Reward: 215.50612568625226
Episode 48, Last State: [ 1.  1. 47.], Reward: 201.13674313881978
